prompt,completion
" Ted: He's been stuck in Cleveland his whole life.
"," Robin: Get a hotel.
"
" Ted: Robin... LeBron.
"," Robin: Okay, one night. Got to go.
"
" Lily: Where are you going? We just got here.
"," Robin: Oh, a Korean massage.
"
" Lily: By yourself?
"," Robin: Well, I figured you'd be busy, reading What to Expect When You're Expecting to Expect.
"
" Ted from 2030: So Lily did just that. She tried not to talk about babies.
"," Robin: Hey, Lily, what brings you to the crib?
"
" Lily: Crib...
"," Robin: What's the matter? You look rattled.
"
" Lily: Rattled? I want to talk about babies.
"," Robin: What?
"
" Lily: Look, I know you don't care about this stuff, but I'm about to become a mother. And as a future mother, I'm gonna need the support...
"," Robin: Oh, my God! You're not even pregnant yet.
"
" Lily: What's that supposed to mean?
"," Robin: It means that a fertilized egg has not yet attached itself to the lining of your uterine wall. You see? I read your Facebook updates. God, it's like it's all you ever talk about, Lily, and I'm sick of it!
"
" Lily: Well, guess what? I've got some good news. When that baby comes, you don't have to see it. In fact, you don't have to see me. This whole friendship thing? Done.
"," Robin: Great.
"
" Lily: Oh, there you are. Robin, I owe you a huge apology.
"," Robin: No, okay? Me first. I've been pulling away from you, and I'm sorry. It's just, the last time my best friend had a baby...
"
" Lily: I know. I know all about it. It's not gonna happen with you and me. And I'm sorry I've been going crazy with this baby stuff. I know you hate babies.
"," Robin: Whoa. Look, I hate most babies. But your baby? I'm gonna love that kid so much. I'm gonna pick it up and everything.
"
" Barney: Where do I know this song from?
"," Robin: Oh, my God. It's the beaver song. Okay, which one of you put this on?
"
" Robin and Jessica: * Day is done; Two beavers are better than one; Dah, dah-dah, dah-dah, dah-dah, dah-dah, dah; Two beavers are better than one; They're twice the fun; Ask anyone; A second beaver can be second to none; Two beavers are better than one. *
"," Robin: *Dah, dah-dah, dah-dah, dah...*
"
" Barney: So, this chick and I are going at it behind the Central Park Zoo. The Bonobo chimps start giving us a standing O, and just when I'm about to give her the same thing... What up?... I... I can't. I just... I can't. Guys, I know you count the minutes until you can escape from your humdrum lives by hearing how awesome mine is, and I love doing that for you, but I just can't tonight.
"," Robin: What's wrong?
"
" Barney: I don't want to talk about it.
"," Robin: Okay. Hey, you guys see Deadliest Catch last night?
"
" Barney: Of course not. It's a two-day job.
"," Robin: Pass.
"
" Barney: Tuesday at work. Some of the senior partners are really getting up there.
"," Robin: So, Ted, yesterday at work, I totally talked you up to that super-hot makeup girl, Liz.
"
" Ted: Oh yeah? Mm-hmm. What did you say?
"," Robin: Oh, you know, how funny you are...
"
" Ted: Guilty.
"," Robin: Handsome.
"
" Ted: Who, me?
"," Robin: Incredible lover.
"
" Ted: Really?
"," Robin: Oh, yeah. Oh, yeah. I was all like, ""He knows a woman's body better than she knows her own, endless waves of pleasure just cresting and breaking for hours and hours..."" Blah, blah, blah. ""Orgasms so intense that you just black out."" All that stuff.
"
" Ted: Robin, how can I possibly live up to that review?
"," Robin: What? You know what you're doing down there. Oh, Teddy Westside can bring it. We know this.
"
" Ted: But that is not the point. I mean, you broke the first rule of setting people up: undersell. It's like, if someone's never seen The Karate Kid, you don't say, ""It's the greatest movie ever."" You say, ""Uh, it's pretty good"" And then they see it, it blows their freakin' mind. Because Cobra Kai sensei's all like, ""Sweep the leg!"" And Daniel-san's all like... (high-pitched vocalizations, (mitates whooshing sounds)
"," Robin: Maybe I did oversell you a bit.
"
" [END OF FLASHBACK]
"," Robin: Did she tell you that Bob Barker was your dad, too?
"
" Back in the bedroom
"," Robin: So, Ted? You were worried that I oversold you to Liz. Well, I fixed it.
"
" Ted: How?
"," Robin: I sent her another email. ""Dear Liz. I hope it didn't sound like I was trying to oversell Ted. The truth is, he is a genuinely nice, down to earth guy, and I think you two would really hit it off.""
"
" Ted: Thank you. Thank you. That's perfect. That totally takes the pressure...
"," Robin: ""Is he going to rock your world in bed? No. But he's clean, open to criticism, and not into anything too weird. He's not bad at all. Not bad at all.""
"
" Ted: See, now you went too far in the other...
"," Robin: ""I'll be honest. The first few times aren't going to be that great. He's going to say 'Are you finished?' more times than a waiter in a busy restaurant.""
"
" Ted: ""Ted Mosby is solid as a rock."" No. ""Dependable."" No. ""Rugged."" No.
"," Robin: Why don't I just go to the Chevy Web site and copy down adjectives?
"
" Ted: I just want to hit that perfect middle ground.
"," Robin: How about we just go wildly to both extremes and just let them balance each other out? ""Ted Mosby is really handsome, but extremely violent, and really rich, but lacks bladder control."" Oh, damn.
"
" Ted: What?
"," Robin: That last bump just made me hit send.
"
" Ted: Oh, no.
"," Robin: Don't worry. I'm sure that everyone will get it's a joke.
"
" Ted: Wait. Barney and James are two years apart. If Sam only knew Loretta for a few months, he couldn't possibly be Barney's father.
"," Robin: He's also quite the detective.
"
" Robin and Ted are in the garden
"," Robin: Weird day.
"
" (phone chirps)
"," Robin: Hey, look at that! Liz still wants to meet you. That's great!
"
" Ted: I guess. Wait a minute. You said Liz was a total ten. Why would she want to meet the incontinent freak show you described? You oversold her!
"," Robin: Maybe a little.
"
" Ted: You said she was a ten.
"," Robin: I did not specify on what scale.
"
" Ted: You said she looked like a movie star.
"," Robin: She does. It's Robert De Niro, but, like, super buff, like in Cape Fear.
"
" Lily: Hey, there's the anchor lady! How was it?
"," Robin: Oh, I don't know. Why don't you ask the new substitute weekend anchor. Robin? Thanks, Robin, it was awesome. Back to you, Robin.
"
" (Lily and Robin hug, then sit down on couch)
"," Robin: Yeah, I felt really bad bailing on Ted though.
"
" Lily: What?
"," Robin: I know who she is.
"
" Lily: You know who she is? But, you weren't even at the wedding.
"," Robin: Actually, I kind of was.
"
" Lily: What?
"," Robin: Well, after the newscast, I was so excited, I decided to surprise Ted by going to the reception.
"
" (flashback to Robin walking in hallway of reception in her red dress, she stops at doorway of piano room and sees Ted and Victoria lean in as if to kiss each other, Robin walks away and walks into bathroom, Robin goes into stall and sits down and starts to cry)
"," Robin: Dammit. Stop it. What the hell?
"
" Victoria: Hello? You OK in there?
"," Robin: Uh, yeah, I'm fine. Just allergies or something. I'm fine.
"
" Victoria: Listen, do you wanna come and cry out here? I've been told I'm an excellent hugger.
"," Robin: Oh, thanks, but I don't actually cry in front of people, or cry at all for that matter. Man, it's gross. Does everyone snot up this much when they cry?
"
" Lily: Because you have feelings for Ted.
"," Robin: I don't know, maybe.
"
" Lily: OK, what is wrong with the two of you?! Seriously. He likes you and you like him, just, just, just be together. Geez, Louise, happiness is not that difficult.
"," Robin: Oh, look, OK. Yes, I cried in the bathroom, and that was weird. But that doesn't mean I'm in love with the guy. The fact is I don't know how I feel.
"
" Lily: Yes you do. Seeing him with someone else and crying about it. Guess what? That's how you feel. That is nothing but how you feel.
"," Robin: OK, fine, I have feelings for him. Happy? Lily: Kinda, yeah.
"
" Robin: OK, fine, I have feelings for him. Happy? Lily: Kinda, yeah.
"," Robin: But it doesn't change anything. I still don't wanna get married and he's still... Ted. What I should do is just tell him who Victoria is so he could be happy.
"
" Lily: Or you could tell him you're into him and then you could both be happy.
"," Robin: I'm gonna go find him.
"
" Lily: Well, wait. Which one are you gonna tell him?
"," Robin: I have no idea.
"
" (Robin walks up to booth)
"," Robin: Hi, guys,
"
" Ted: Hey.
"," Robin: Um, Ted, can I talk to you outside for a second?
"
" (Ted gets up, Ted's phone rings)
"," Robin: Uh, I, I have to tell you something.
"
" Ted: Oh.
"," Robin: Oh, just get it.
"
" Victoria: Why don't you take this? Sounds like you could use it.
"," Robin: Thanks. You're very sweet. So, are you a friend of the bride or groom?
"
" Ted: It looks good. I'll do.
"," Robin: There's no more milk.
"
" Ted: I saw in the fridge.
"," Robin: empty.
"
" Ted: So, throw it.
"," Robin: The trash can is full.
"
" Ted: So, take out the trash.
"," Robin: I eat cereal.
"
" Ted: You know, when I asked you to be my roommate, I said, ""A girl, she will be careful."" But no, you're an ogre Revenge of the Nerds.
"," Robin: You know what? Instead of coming with references typical last minute like that, you should spend some time, I dunno... washing a dish.
"
" Ted: Damn, I can not. I'm busy leave a plate of cookies for the elf magic puts toilet paper. Wait, there's no elf. It's always me!
"," Robin: I always changing. You, never!
"
" Ted: This is ridiculous!
"," Robin: No, I went there yesterday... Stop it! Stop it! My God, what happens? When we were a couple, we lived together and we almost went insane.
"
" Ted: I know. It's been what?
"," Robin: You know what this is? We made love. Men and women need s*x to live together. It resolves all disputes.
"
" Ted: Well, I think we should love again.
"," Robin: Yes, of course.
"
" Ted and Robin are in bed.
"," Robin: I know. It's like riding a bike, man?
"
" Ted: Biking upside down. Well, listen. If it should happen on occasion, they say nothing to anyone. Sold.
"," Robin: Sold.
"
" Marshall: It's a great idea. No, really. Hat guys. I saw in the future and everything works perfectly for everyone.
"," Robin: Why are you here anyway?
"
" Ted: I understand. No problem.
"," Robin: If this is a problem. You've done all the way here to read a magazine? I am willing to bet that there is a place to read this magazine at work. You know, a room with a little man on the door?
"
" End flashback
"," Robin: Have you thought about maybe not reading a magazine when you read a magazine?
"
" Marshall: Anyway, I'd rather do it here.
"," Robin: No, I'm sorry. This is our house now. Marshall, you should also read a magazine. Give me your key.
"
" Barney: You... have slept together. What are épouv...stouflant. Epouvstouflant. Well done, Ted. Bravo.
"," Robin: It seems more important than it is.
"
" Ted (2030): In fact, Lily was right. We talk about it later.
"," Robin: We will not get there, OK? Nobody will get hurt. It has established rules.
"
" Ted: Rule number one: purely physical relationship. There are no feelings.
"," Robin: This is like telling Fonzie be cool.
"
" Ted: And since it's just physical, it was not to worry love.
"," Robin: You can do it watching TV!
"
" Ted: Absolutely! Let's multitasking. Use s*x to spice up the boring activities.
"," Robin: As folding laundry.
"
" Ted: It's not very hygienic.
"," Robin: Yes, not that one.
"
" End flashback
"," Robin: And now they sleep together, we argue more.
"
" Ted: Problem solved. In fact, the credit goes to Barney. This idea just your thing on the world peace.
"," Robin: Yes. Thank you, Barney. You were right. Peace was established. More than once.
"
" Ted: There's something liberating not to take it seriously.
"," Robin: Last night we did when I answered the phone.
"
" Barney: Wonderful, we still speak of that!
"," Robin: Look, it's a private thing between me and Ted.
"
" Ted and Robin Trick private.
"," Robin: It is not even discuss it if Marshall could read a magazine at work.
"
" End flashback
"," Robin: Have you booked a hotel room just to read a magazine?
"
" Ted: I think so. You still have drank all my milk!
"," Robin: We can make love.
"
" Ted: Hello.
"," Robin: Hello.
"
" Ted: It was fun last night.
"," Robin: Sure, it was a good one. Personal memo: leave it lying around the pizza box more often.
"
" Lily and Robin are in the apartment.
"," Robin: It was weird. Bizarre, weird, weird. B-I-R-A-Z-R-E.Bizarre.
"
" Lily: That's not how it is written.
"," Robin: Come on, Lily. Do not your Ted.
"
" Lily: I warned you. When ex relapse, ultimately, it hurts someone. But nobody is listening. This is the story of my life.My nice face that prevents people listen to my message.
"," Robin: What do I do?
"
" At the apartment...
"," Robin: I think we should stop sleeping. Ted and I, it's like cigarettes. You take one into thinking it is good. And very quickly, you buy one carton per week. I must stop it.
"
" Ted and Robin are at the apartment and talk.
"," Robin: So, you stop that, huh?
"
" Ted: I think so.
"," Robin: This is for the best. It was fun, but I do not want it becoming weird.
"
" Ted: I do not either.
"," Robin: Colocs?
"
" Ted: But they say nothing to anyone. Okay?
"," Robin: Sold.
"
" Marshall: Sold.
"," Robin: Dude!
"
" Ted: It did not last long.
"," Robin: Actually, what you did not care for us? I thought you had the perfect plan.
"
" Barney: Ted, I must tell you the truth. I love... (Robin out the trash) tacos. What are you doing?
"," Robin: I go step-louse. If you are looking for Ted, he was released. And... our little arrangement is... completed, by the way.
"
" Barney: Really? That's Wife... vantable.
"," Robin: Epousvantable?
"
" Barney: Yes, it is épousvantable. What has happened?
"," Robin: He insisted. He said ""no longer able to do"" if ""it hurt someone."" I think we all know who he is talking about.
"
" Barney: Oh?
"," Robin: It's not obvious?
"
" Barney: It is?
"," Robin: Yes. This is Ted. You know how it romantic. He can not separate the physical emotion. It is kind of...
"
" Barney: I love you.
"," Robin: Right. It's not like you, you know? In addition, we are friends. I want to complicate matters by committing. Hanging out with friends never works. So... you want to go eat a taco?
"
" Barney: A Taco?
"," Robin: You love them, right?
"
" Barney: Just.
"," Robin: Come on, I'm hungry.
"
" Lily:  I heard you.
"," Robin: Yeah, um, isn't it a little early in our relationship to do something that would end our relationship?
"
" Lily: Awesome! I bet the guys were going crazy. Oh, I bet they wanted to touch her so bad. But all you can do is look, unless you go into the back room, but honey, you got to pay for that.
"," Robin: So... Strip club.
"
" Barney: See,Marshall? We got to have a bros' night at a strip club and both of our ladies are totally cool with it.
"," Robin: I'm not cool with it.
"
" Barney: Because they understand that it's healthy for us to do that from time to time.
"," Robin: It's disgusting.
"
" Barney: Because it's harmless.
"," Robin: Did one of your whores tell you that?
"
" Barney: Marshall, tell her. We're all friends here.
"," Robin: No, we're not.
"
" IN. MC LAREN'S
"," Robin: Did he juggle? Bad puns? Mmm. Expect a standing ovation for picking up a $19 check
"
" Barney: You are the best. My girlfriend is at a strip club with me and she couldn't care less.
"," Robin: I do care, Barney. Look, we're dating now, okay? That changes things. We have to have a serious talk about this.
"
" Barney: Yeah. At a bar. That book might as well be called, ""Are You There, Barney? It's Me, Horny."" That is not what ""shields up"" looks like. (He points to Robin who is entering the bar, with greasy hair and dirty clothes) That is what ""shields up"" looks like.
"," Robin: Move. God! (She come over Ted and Barney's table) Hey. 'Sup, dudes? Fries?
"
" Barney: Oh, good God, woman. You're a disgrace.
"," Robin: No fries for this guy.
"
" Ted: Here, have some tea.
"," Robin: Thanks.
"
" Ted: Robin, I am here for you. Whatever you need.
"," Robin: Okay, about that. Ted, listen. I know myself pretty well. And, some time over the next few months, I'm going to want to sleep with you. And when that happens, you have to try to say no.
"
" Ted: Try? I will absolutely say no. Our friendship is too important.
"," Robin: Okay, you know, maybe I wasn't clear enough. I will come at you with everything I've got. I will stalk you like the lioness stalks the gazelle: careful, patient, deadly. And if you let your guard down for so much as a second, as sure as you were born, I will hump your brains out.
"
" two weeks later
"," Robin: Okay, I'm ready to have s*x now.
"
" Ted: It was a tough summer, but I think our girl's been a real trooper. She's... Is this a Cheeto?
"," Robin: No, we ran out of Cheetos last week. Oh, yeah, it's a Cheeto. Dibs.
"
" Ted: Hey Robin, what do you think? The girl sitting at the bar. Shields up?
"," Robin: Mmm, totes, toots. She's here on a date. She brought the book because she got here early, and she also wants to impress the guy she's meeting. Girls like to come across all classy and smart, you know? (She gets a giant hamburger out of a paper bag)
"
" Barney: Oh, that sucks! And dibs.
"," Robin: So you went on one date with one of her friends. It's not necessarily a big deal. I mean, did it end on bad terms?
"
" [END OF FLASHBACK]
"," Robin: Well, I guess you just got to move on. I mean, it's not like you have a shot with Ready McGee over there, right? Ted?
"
" Ted: I got to see her ankles.
"," Robin: You're one of those? God, I swear, one in five guys...
"
" Back to the table with Barney, Robin & Ted
"," Robin: They're talking to a guy now.
"
" Ted: What kind of guy? A cheesy guy or a cool guy?
"," Robin: Oh, a cheesy guy. Don't worry.
"
" Ted: Oh, man! That guy is cool. His hair's all cool, he's got a cool belt.
"," Robin: Well, that guy is cheesy, and if you think he's not cheesy, then you're cheesy, too, and now I want something cheesy. Who's feeling nachos?
"
" Barney: Oh, look at you, Robin. You're jealous.
"," Robin: Jealous?
"
" Barney: Yeah, jealous, because she's got it, and you've lost it.
"," Robin: I have not lost it.
"
" Barney: You lost it.
"," Robin: I still have it. I know exactly where it is, and I can go get it whenever I want.
"
" Barney: Robin, girls are like cartons of milk. Each one has a hotness expiration date, and you've hit yours. I'm not saying the occasional guy won't still open the fridge, pick you up, give a sniff, shrug and take a sip anyway But it's all downhill from here.
"," Robin: I don't have to take this. But I do have to take this.
"
" The man: Hi.
"," Robin: 14 seconds! 14 seconds, and already some dingdong is stepping up, thinking he can get some of this broke off. I... still... got... it. All right, buddy, you proved my point. Now scram. Nice belt, by the way.
"
" Barney: Robin, you do look super hot.
"," Robin: Oh, do I?
"
" Barney: Yeah, you do.
"," Robin: Thanks.
"
" Cindy: Come say good-bye before you leave.
"," Robin: Say good-bye before you leave?
"
" Ted from 2030: Kids, nothing in this life quite compares to the sweet, terrifying exhilaration of making your move. When you just put it all on the line and go for it. And that night, by golly, Cindy went for it. So no, kids, that girl wasn't your mother. She ended up being someone else's mother. In fact, they both did.
"," Robin: Like I said, she's here on a date.
"
" Ted and Robin arrive at Lily and Marshall where Barney is already there.
"," Robin: We brought the turkey.
"
" Ted: You're saying...
"," Robin: What you think you say?
"
" Robin and Ted: Transferable.
"," Robin: You realize that you will remain one. Are you sure you want to spend a day.
"
" Marshall closes the door.
"," Robin: I hope Lily is well.
"
" Lily prepares for her wedding.
"," Robin: You're worth it!
"
" Ted: Seriously Robin, you should have the slap. You're a big baffeuse. In fact, I want to study the slaps in your tutoring. I wanna be your apprentice-slap.
"," Robin: Do not underestimate. You're a rock star of slaps. Your name should be Eric Baffe-PTON.
"
" Barney: And finish it!
"," Robin: It's all yours.
"
" Ted: No. To you, I insist.
"," Robin: Okay, I will.
"
" Ted: Great. Wait, what?
"," Robin: I say I'll slap.
"
" Ted: What, so it's... the end of the discussion?
"," Robin: You said I could slap.
"
" Ted: I was polite. If someone will slap, it will be me.
"," Robin: No, not at all.
"
" He closes the door. Then leaves the room to join Lily.
"," Robin: We have one hour before sunset, and none of us baffera Barney.
"
" Barney: It's a good point. Rebuttal?
"," Robin: I slipped a note of the type 20!
"
" Ted: I brought this large turkey so far.
"," Robin: I paid the taxi.
"
" Ted: You've slept with one of my best friends!
"," Robin: What? You said it was fine.
"
" Ted: Well, no!
"," Robin: Why did not you say anything?
"
" Ted: Because I love you always!
"," Robin: You really want to slap Barney the point of lying and pretending to be in love with me?
"
" Ted: Robin sh1t! I knew Barney first. This is for me to slap.
"," Robin: This slap is mine, Mosby. I never slap Barney... above the belt.
"
" Ted: I want to slap Barney since I met him!
"," Robin: And I would not slap?
"
" Ted: One second. This slap was supposed to be a wonderful thing, a gift, and it has turned against each other.
"," Robin: My God, you're right. This fruit has changed in immaculate slap-poisoned apple. You know what? Seriously, do it.
"
" Ted: Are you sure?
"," Robin: Baffe-solument.
"
" Barney: And that's what you always wanted, is not it? A strong man to take care of you? Of course, teenager, you were a feisty, playing hockey with the boys, you skinned your knees on the ice. But what you could say to your teammates... or even to yourself... that is all you really wanted was this pretty white dress in this beautiful white chapel. And at the end of the aisle strewn with pretty white flowers, a man to take care of all your slaps.
"," Robin: Leads to me!
"
" It attaches to Barney ""Throne"".
"," Robin: It's gonna be Ted.
"
" Ted: What? Why me?
"," Robin: Last year you were abandoned at the altar. You lost your job. You did so along way. I am so proud of you, Ted. You deserve to slap someone in the face as hard as you can.
"
" Ted: You just go through a break... and even though I know that you and Barney are remained on good terms, there is not a part of you, well hidden that wants to slap in the face?
"," Robin: Yes
"
" Barney: It hurts!
"," Robin: I can not do it. I can not take that away from you, Ted.
"
" Barney: thank you God.
"," Robin: So, I want to move. Mickey?
"
" Barney: No way!
"," Robin: I'm glad you and Lily try to fix things. You want to welcome into our family, I would like to offer you the slap.
"
" [3 hours before midnight]
"," Robin: Oh, man, Ted, this is great.
"
" Lily: All right, and party number one that's where we get to meet Mary Beth?
"," Robin: Mary Beth?
"
" Ranjit: I've moved up in the world.
"," Robin: How do you guys know each other?
"
" Barney: Hey, what are we waiting for? We got five parties to hit, and three hours to do it.
"," Robin: Oh, I wish I could come with you guys but Derek should be coming by any minute to pick me up.
"
" Ted from 2030: Oh, yeah, Robin was spending New Year's with her boyfriend, Derek. Derek. He was like rich, successful, handsome. I hated that guy.
"," Robin: Oh, I'll miss you guys. Have fun.
"
" Ted: Me, too. (Ted's phone starts ringing) Hey, Robin.
"," Robin: Ted, Derek stood me up.
"
" [1h38 before midnight]
"," Robin: Oh, God, I'm so sorry about this. You guys had your schedule and I screwed it all up.
"
" Lily: What happened?
"," Robin: Derek's stuck in Connecticut closing some deal. Who works on New Year's Eve? Okay. Now I feel worse. I was really looking forward to this night. This sucks.
"
" (Barney stops the music)
"," Robin: Maybe I should just go home.
"
" Ted: Look, Robin, you're not going home. Come on, it's New Year's Eve. Look, so your date fell through. So what? What do you need a date for? Someone to kiss at midnight? Fine. I'll kiss you at... a little bit after midnight.
"," Robin: Hi, I'm Robin.
"
" Mary Beth: Mary Beth.
"," Robin: You're friendly. I haven't eaten dinner yet. Is there anything to eat in this thing?
"
" Ted: That's it. I know what you're jonesing for. Ranjit, take us to Gray's Papaya!
"," Robin: Oh, yes. Ted, you rock.
"
" Ted: Hey. I'll bet you're feeling better now.
"," Robin: Oh, so much better.
"
" Ted: No way.
"," Robin: That's totally Moby. That's awesome.
"
" Moby: It's just a New Year's thing. You know, with some friends.
"," Robin: Wow, that sounds awesome.
"
" Moby: Who?
"," Robin: Moby... the recording artist, Moby.
"
" Barney: Yeah, you know why all the circuits are jammed because everyone's calling their loved ones, everyone around the world. Everyone except Barney. Oh, sure, laugh. Laugh for Barney Stinson. Laugh for the sad clown trapped on his whirling carousel of suits and cigars and bimbos and booze. Round and round it goes. And where's it all heading? Nowhere.
"," Robin: Is this just 'cause you lost your ""Get Psyched"" mix?
"
" Barney: I'm sorry. Am I not allowed to have a pensive side?
"," Robin: No. No, not tonight. Not in the limo. We got to stay psyched. Ted went to a lot of trouble to make this an awesome New Year's. (singing...) *Shot through the heart And you're to blame, darling*
"
" Lily: Marshall! Marshall!
"," Robin: I'm sorry about your girl.
"
" Ted: Sorry about your guy.
"," Robin: Well, at least we both have someone to kiss at midnight. Did you forget about our little deal? Because I did not.
"
" (Robin's phone starts ringing)
"," Robin: Derek. Hi. How's work?
"
" Ted from 2030: And just like that, we were having the perfect New Year's Eve. The funny thing is all night long, I'd been trying to chase something down that was right there in that limo.
"," Robin: Derek?! Derek.
"
" Derek: I cut my meeting short because I wanted to see you at midnight.
"," Robin: I can't believe you made it.
"
" Ted from 2030: You probably want to feel bad for your old man at this point in the story. Well, don't. Not every night has a happy ending. But all of it's important. All of it was leading somewhere. Because suddenly, it was 2006. And 2006 was a big one.
"," Robin: What the hell, man? I thought we had a deal.
"
" Ted: What about your guy? It's midnight. Go kiss him.
"," Robin: Eh, he kept me waiting. I can keep him waiting.
"
" Ted: Well, a deal is a deal.
"," Robin: Happy New Year.
"
" Lily: Well, I just ralphed.
"," Robin: How much did you guys drink last night?
"
" Lily: Yeah, no, it'll be fun.
"," Robin: Lily, you just said, ""yeah, no.""
"
" Lily: Yeah, no, shut up.
"," Robin: Wait, so you're not going home for Thanksgiving.
"
" Ted: No, I have to work on Friday. You?
"," Robin: I'm Canadian, remember? We celebrate Thanksgiving in October.
"
" Ted: Oh, right, I forgot you guys are weird. You pronounce the word out, ""oat""
"," Robin: You guys are the world's leader in handgun violence, your healthcare system is bankrupt and your country is deeply divided on almost every important issue.
"
" Ted: Your cops are called Mounties.
"," Robin: So, probably hanging out with Barney then?
"
" Ted: I think I'm gonna go to a homeless shelter, serve food.
"," Robin: That's awesome.
"
" (Robin and Ted enter, lots of volunteers bustling around)
"," Robin: This is gonna be great.
"
" Barney: Guys, OK, look, I don't advertise it, but I volunteer here. I think it's important to help the less fortunate. I'm the Angelina Jolie of incredibly hot guys.
"," Robin: This is a joke, right? You don't actually volunteer here.
"
" Kendall: Go home, we're full.
"," Robin: What? Ted: We're volunteers, we're unpaid help. Can you really ever have enough unpaid help?
"
" Kendall: On the biggest volunteer day of the year, yeah, you can.
"," Robin: Come on, we just wanna help out.
"
" And the way the faces of the less fortunate light up when you give them a hot, nutritious meal, is there a better feeling on earth?
"," Robin: Yesterday you said the best feeling on earth was getting your toes sucked. Then you requested a high-five with your foot.
"
" Ted: This is crazy. When did it get so hard to do charity work?
"," Robin: I do charity work all the time. Remember when I said I'd find you a girlfriend.
"
" Ted: Ha ha. Delightful. How is that little project coming along anyway?
"," Robin: I'm working on it. I'm gonna introduce you to that girl you've been staring at.
"
" (Robin walks over to girl)
"," Robin: Have you met Ted?
"
" (Robin walks back over)
"," Robin: Oh, um, I'm not his girlfriend. I used to be but, um, I just wasn't enough woman for Ted, emotionally or sexually. Oh my God.
"
" (Amanda walks away)
"," Robin: Hey, we're in business.
"
" Ted: Let's start with this one.
"," Robin: Yeah.
"
" Ted: Oh, you are evil.
"," Robin: Now, all's right with the world again.
"
" Ted: You can't fire a volunteer.
"," Robin: Apparently you can. And his two non-mushroom-throwing friends.
"
" (Dancer twirling around pole; Barney and Robin eating Thanksgiving dinner, Ted sitting with head in hands)
"," Robin: Surprisingly good.
"
" (Robin and Ted talking)
"," Robin: Ted. Are you listening? You're a good guy.
"
" Barney: Ted, Walter's been to three shelter dinners. You know where he hasn't been? To heaven with Samantha. Look, it's the one chance you've had all day to help someone in need. Now buy this man a lap dance.
"," Robin: You said you wanted to see the joy in someone's eyes.
"
" Ted: Happy Thanksgiving, guys.
"," Robin: Thanksgiving in November. Weird.
"
" Lily: I'm pregnant.
"," Robin: What?!
"
" The Bar
"," Robin: To Lily and Marshall.
"
" Ted: It's gonna be a magical day. (Ted hangs up) I know what you're thinking. I wish I was a dude.
"," Robin: I do wish you were a dude.
"
" Ted: Because if I was a dude, I could have Ted Mosby as my best man.
"," Robin: No, and here's why.,Ted, the best man's job is not to crush the floral arrangements. It's to get the groom down the aisle, because, no matter who he is, he will freak out. And I just don't think you have what it takes to get that get that soldier to pick up his rifle and charge up the hill.
"
" Ted: Uh, are you forgetting I've done this before? I was Marshall's best man.
"," Robin: And how did that go again? Oh for one.
"
" Ted: Oh, come on. That wasn't my fault. And need I remind you, I gave a beautiful toast.
"," Robin: Ted. (Both yelling) Oh, do you take one to be your lawfully wedded wife? Oh, God, I'm freaking out. Why did I chose Ted to be my best man?
"
" Ted: Why this sudden obsession with Heads or Tails?
"," Robin: Well, it turns out that Heads or Tails has a job opening.
"
" (She trhows it in the eye of the animator)
"," Robin: So now, because of that incident, Heads or Tails is looking for a new currency rotation specialist.
"
" Ted: You mean coin flip bimbo?
"," Robin: They're not bimbos!
"
" Ted: You're the new coin flip bimbo?
"," Robin: Currency rotation specialist.
"
" Ted: Robin, you better check yourself before you trebek yourself. You're a journalist! What is the matter with you?
"," Robin: Well, it's a national audience! I get to wear shiny dresses!
"
" [FLASHBACK]
"," Robin: I am never drinking again.
"
" [FLASHBACK]
"," Robin: I moved here to work for a big-time cable news channel like World Wide News. Mm-hmm. Well, by this time next year, I will be wearing a World Wide News I.D. badge around my neck. And to show you that I'm serious, this is my first and only drink of the night. Okay. Okay? Oh, damn, that's smooth.
"
" Ted: I thought you finally got that interview at World Wide News.
"," Robin: Well, I did, but they only offered me a boring, low-paid, off-camera research job.
"
" Ted: Which could be a stepping stone to bigger things in your career.
"," Robin: Well, so could Heads or Tails. (snorts) The first currency rotation specialist went on to be a semi-finalist on The Bachelor, and then, she lost, like, a hundred pounds on The Biggest Loser, and now she's totally winning Celebrity Rehab.
"
" Lily: I'm pregnant.
"," Robin: What?!
"
" Ted from 2030: Now, kids, when your friends have great news, you're happy for them... For, like, a millisecond. And then you start thinking about yourself.
"," Robin: Oh, my God! They're really having a baby. What am I doing with my life? Starting Monday, I'm a currency rotation spe... Oh, who am I kidding? I'm a coin flip bimbo, and I'm still single. Okay, let's not go there, Scherbatsky. That's a whole other thing. I've got to take that World Wide News job.
"
" The Bar
"," Robin: Well, you are looking at the new associate researcher at World Wide News.
"
" Ted: What changed your mind?
"," Robin: Marshall and Lily. I just realized that I am about to have a little niece who looks up to me. And I don't want to be sad aunt Robin, the aging coin flip bimbo who gives her the creeps. I want to be cool aunt Robin, the respected journalist... (quietly) Who gives her beer.
"
" Lily: What?
"," Robin: What? Oh. I have never seen you guys looking so at peace. To Lily and Marshall.
"
" The appartment
"," Robin: Hi, Mr. Trebek. This is Robin Scherbatsky.
"
" Doctor: You're not pregnant.
"," Robin: As honored as I am by the offer, um... (Phone chirps) Oh, my God. They're not having a baby. What am I getting all up in my head about? That research job sounds hard. And I'm pretty. I'm really, really pretty.
"
